__id_std_norm,freq_code,expected_events,unit_labor_hours,unit_labor_cost,unit_material_cost,unit_total_cost,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost
100785,A,20,5.0,371.3,0.0,371.3,100.0,7426.0,0.0,7426.0
100786,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100787,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100789,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100794,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100803,M,129,7.571428571428571,563.9928571428571,0.0,563.9928571428571,976.7142857142857,72755.07857142857,0.0,72755.07857142857
100804,10Y,1,2.7777777777777777,195.0222222222222,0.0,195.0222222222222,2.7777777777777777,195.0222222222222,0.0,195.0222222222222
100808,10Y,1,0.904524,54.10666666666666,0.0,54.10666666666666,0.904524,54.10666666666666,0.0,54.10666666666666
100809,M,129,3.377906976744186,264.8616279069767,0.0,264.8616279069767,435.75,34167.149999999994,0.0,34167.149999999994
100811,M,43,9.178571428571429,665.5328571428572,0.0,665.5328571428572,394.67857142857144,28617.91285714286,0.0,28617.91285714286
100811,SA,8,9.178571428571429,665.5328571428572,0.0,665.5328571428572,73.42857142857143,5324.262857142858,0.0,5324.262857142858
100812,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
